"Strain","Pro_mCh","Promoter","mCherry","Ter_length","Terminator","Length","TargetID","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep1","1",-0.44,1.35660432744767,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep2","1",0.17,0.88884268116657,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep3","1",0.0700000000000021,0.952637998043936,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep4","2",-0.244999999999999,1.18509277094158,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep5","2",0.149999999999999,0.901250462610831,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-200bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-200bp","tRPS3_WT","200bp","URA3-ORF","BioRep6","2",-0.280000000000001,1.21419488439505,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","mCh-7","BioRep1","1",-0.395,1.31494276020507,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","mCh-7","BioRep2","1",0.00999999999999979,0.993092495437036,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","mCh-7","BioRep3","1",-0.0849999999999991,1.06068774136822,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","mCh-7","BioRep4","2",0.0149999999999988,0.989656656415208,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","mCh-7","BioRep5","2",0.125,0.917004043204671,FALSE,FALSE
