"Strain","Pro_mCh","Promoter","mCherry","Ter_length","Terminator","Length","TargetID","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep5","2",-0.325000000000001,1.25266443862413,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep6","2",0.729999999999999,0.602903913845381,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","mCh-7","BioRep1","1",4.135,0.0569168645994986,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","mCh-7","BioRep2","1",3.97,0.0638132578566996,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","mCh-7","BioRep3","1",4.23,0.0532896807354973,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","mCh-7","BioRep4","2",3.455,0.091188771515011,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","mCh-7","BioRep5","2",4.495,0.044347604881262,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","mCh-7","BioRep6","2",4.155,0.0561332733052459,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","PGK1-ORF","BioRep1","1",-0.465,1.38031735339663,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","PGK1-ORF","BioRep2","1",-0.49,1.404444875738,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","PGK1-ORF","BioRep3","1",-0.249999999999998,1.18920711500272,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","PGK1-ORF","BioRep4","2",-0.565,1.47938750924884,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","PGK1-ORF","BioRep5","2",-0.505000000000001,1.41912335620038,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","PGK1-ORF","BioRep6","2",-0.265000000000001,1.20163604952685,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","RPS3-ORF","BioRep1","1",0.425000000000001,0.744838731561351,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","RPS3-ORF","BioRep2","1",0.44,0.737134608645551,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","RPS3-ORF","BioRep3","1",0.330000000000002,0.795536483754918,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","RPS3-ORF","BioRep4","2",0.475,0.71946679000541,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","RPS3-ORF","BioRep5","2",0.344999999999999,0.787307976569204,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","RPS3-ORF","BioRep6","2",0.785,0.58035195719186,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","SRO9-ORF","BioRep1","1",3.015,0.123707082051901,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","SRO9-ORF","BioRep2","1",2.67,0.157126671815229,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","SRO9-ORF","BioRep3","1",3.02,0.12327908806167,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","SRO9-ORF","BioRep4","2",3.415,0.0937524368303636,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","SRO9-ORF","BioRep5","2",3.395,0.0950611720775631,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","SRO9-ORF","BioRep6","2",3.105,0.116225617826645,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","URA3-ORF","BioRep1","1",0.475000000000001,0.719466790005409,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","URA3-ORF","BioRep2","1",0.51,0.702222437868999,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","URA3-ORF","BioRep3","1",0.420000000000002,0.747424624317468,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","URA3-ORF","BioRep4","2",-0.574999999999999,1.4896774631227,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","URA3-ORF","BioRep5","2",0.285,0.820741608810498,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-500bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-500bp","tSRO9_WT","500bp","URA3-ORF","BioRep6","2",0.725,0.604997044609646,FALSE,FALSE
