,experiment,strain,c_mCherry_100_per_OD_at_max_local_gr
44,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modD clone 1,774.5925185148255
45,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modD clone 2,818.2084230689014
46,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modD clone 3,730.3625637232693
47,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modE clone 1,861.7527363933038
48,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modE clone 2,958.840481336441
49,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modE clone 3,836.0329336386953
50,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modF clone 1,2118.9511722623156
51,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modF clone 2,1953.7942565251246
52,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modF clone 3,1765.8872019432974
53,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modG clone 1,1132.2824257387285
54,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modG clone 2,1349.9319761854276
55,20201204_pPIR1_tPIR1_n2/20201204-pPIR1-tPIR1mod_n2,tPIR1-modG clone 3,1393.53074982045
