,strain,mCherry-100 per OD at max local gr
0,POT1-ccdB clone 1,11.906713414306584
1,POT1-ccdB clone 2,-3.9344338969433714
2,POT1-ccdB clone 3,10.79701721759983
3,null,
4,tRPS3-200bp-mod0 clone 1,1795.201234262279
5,tRPS3-200bp-mod0 clone 2,2522.1938130105937
6,tRPS3-200bp-mod0 clone 3,1868.4927091109414
7,tRPS3-200bp-modA clone 1,1601.791545550888
8,tRPS3-200bp-modA clone 2,1573.4393823374876
9,tRPS3-200bp-modA clone 3,2222.6460995021107
10,tRPS3-200bp-modB clone 1,1030.6546041724268
11,tRPS3-200bp-modB clone 2,895.8130627814508
12,tRPS3-200bp-modB clone 3,1157.2660973593313
13,tRPS3-200bp-modC clone 1,2508.9807888548225
14,tRPS3-200bp-modC clone 2,2344.006714056193
15,tRPS3-200bp-modC clone 3,2693.7311007874487
16,tRPS3-200bp-modD clone 1,1106.6459589929482
17,tRPS3-200bp-modD clone 2,1062.1317764424623
18,tRPS3-200bp-modD clone 3,1432.993569072804
19,tRPS3-200bp-modE clone 1,1016.9624144912691
20,tRPS3-200bp-modE clone 2,1508.6965332457535
21,tRPS3-200bp-modE clone 3,763.8979236146445
22,tRPS3-WT-200bp clone 1,4760.705221217641
23,tRPS3-WT-200bp clone 2,4427.216794228988
24,tRPS3-WT-200bp clone 3,3343.86229219698
