,strain,c-mTurq-60 per OD at max local gr
0,Null,
1,POT1-ccdB,-13.72327266168515
2,pCLN2-mTurq-tCLN2,101.2279812586111
3,pCLN2-mTurq-tHSP26,159.0905282605142
4,pCLN2-mTurq-tPAB1,147.15684861982115
5,pCLN2-mTurq-tPGK1,105.32636537850462
6,pCLN2-mTurq-tPMA1_long,23.30479046739862
7,pCLN2-mTurq-tRPS13,67.57138575645403
8,pCLN2-mTurq-tRPS3,142.82508662211657
9,pCLN2-mTurq-tSRO9_long,20.63547639967101
10,pCLN2-mTurq-tSUN4,22.30300241871118
11,pCLN2-mTurq-tTOS6,23.773149002715396
12,pHSP26-mTurq-tCLN2,6104.5020637300095
13,pHSP26-mTurq-tHSP26,5204.654912344818
14,pHSP26-mTurq-tPAB1,7154.572881271301
15,pHSP26-mTurq-tPGK1,7064.48422425651
16,pHSP26-mTurq-tPMA1_long,2773.128508549177
17,pHSP26-mTurq-tRPS13,5705.483998833036
18,pHSP26-mTurq-tRPS3,6849.448548072029
19,pHSP26-mTurq-tSRO9_long,2252.384029883193
20,pHSP26-mTurq-tSUN4,2627.812989699721
21,pHSP26-mTurq-tTOS6,3715.6627151538955
22,pPGK1-mTurq-tCLN2,6125.268565664771
23,pPGK1-mTurq-tHSP26,5478.768450604614
24,pPGK1-mTurq-tPAB1,9692.360505317689
25,pPGK1-mTurq-tPGK1,7353.903922728167
26,pPGK1-mTurq-tPMA1_long,1034.6578487321488
27,pPGK1-mTurq-tRPS13,5897.393048786334
28,pPGK1-mTurq-tRPS3,6772.64358532666
29,pPGK1-mTurq-tSRO9_long,2860.6342400840276
30,pPGK1-mTurq-tSUN4,2520.7070930495224
31,pPGK1-mTurq-tTOS6,3521.3178701608085
32,pRPS13-mTurq-tCLN2,4756.958004016287
33,pRPS13-mTurq-tHSP26,4538.487258935194
34,pRPS13-mTurq-tPAB1,6015.943464753335
35,pRPS13-mTurq-tPGK1,3842.465489935363
36,pRPS13-mTurq-tPMA1_long,957.3679365620457
37,pRPS13-mTurq-tRPS13,4192.443092524979
38,pRPS13-mTurq-tRPS3,4826.224471626575
39,pRPS13-mTurq-tSRO9_long,2435.7294133797773
40,pRPS13-mTurq-tSUN4,1233.7504527911199
41,pRPS13-mTurq-tTOS6,1889.7426212434168
42,pRPS3-mTurq-tCLN2,4881.633573017669
43,pRPS3-mTurq-tHSP26,4411.785263625321
44,pRPS3-mTurq-tPAB1,6284.396563823065
45,pRPS3-mTurq-tPGK1,4108.312342568911
46,pRPS3-mTurq-tPMA1_long,756.2082057748908
47,pRPS3-mTurq-tRPS13,3959.101145162268
48,pRPS3-mTurq-tRPS3,5365.596340706209
49,pRPS3-mTurq-tSRO9_long,2489.6179374018743
50,pRPS3-mTurq-tSUN4,1207.861434818959
51,pRPS3-mTurq-tTOS6,1526.7448284327704
52,pSRO9-mTurq-tCLN2,684.8645739221029
53,pSRO9-mTurq-tHSP26,782.271771926435
54,pSRO9-mTurq-tPAB1,961.2692675797923
55,pSRO9-mTurq-tPGK1,557.6623446656938
56,pSRO9-mTurq-tPMA1_long,93.32683250368434
57,pSRO9-mTurq-tRPS13,701.6472067728594
58,pSRO9-mTurq-tRPS3,928.1136993610415
59,pSRO9-mTurq-tSRO9_long,310.4015605931734
60,pSRO9-mTurq-tSUN4,157.9801568694213
61,pSRO9-mTurq-tTOS6,293.35739776817985
