,experiment,strain,max gr,time of max gr
53,20201110-Pro-ter_mTurq2-collection_n1,pSRO9-mTurq-tHSP26,0.37834465222830255,3.0236487962962957
54,20201110-Pro-ter_mTurq2-collection_n1,pSRO9-mTurq-tPAB1,0.3626468311633196,2.9389548148148146
55,20201110-Pro-ter_mTurq2-collection_n1,pSRO9-mTurq-tPGK1,0.3750420415259928,2.9410719444444435
56,20201110-Pro-ter_mTurq2-collection_n1,pSRO9-mTurq-tPMA1_long,0.35668169722820137,2.896607592592592
57,20201110-Pro-ter_mTurq2-collection_n1,pSRO9-mTurq-tRPS13,0.36822494150097157,2.9050769444444438
58,20201110-Pro-ter_mTurq2-collection_n1,pSRO9-mTurq-tRPS3,0.36783279537774116,2.970714907407407
59,20201110-Pro-ter_mTurq2-collection_n1,pSRO9-mTurq-tSRO9_long,0.3662882200789959,3.1506888888888875
60,20201110-Pro-ter_mTurq2-collection_n1,pSRO9-mTurq-tSUN4,0.35571900491685005,3.074465555555555
61,20201110-Pro-ter_mTurq2-collection_n1,pSRO9-mTurq-tTOS6,0.3601300775891286,3.2650241666666657
0,20201126-Pro-ter_mTurq2-collection_n3,POT1-ccdB,0.3803156700758609,3.045223333333334
1,20201126-Pro-ter_mTurq2-collection_n3,null,,
2,20201126-Pro-ter_mTurq2-collection_n3,pCLN2-mTurq-tCLN2,0.37853845825284715,2.7085212962962957
3,20201126-Pro-ter_mTurq2-collection_n3,pCLN2-mTurq-tHSP26,0.38021345707925114,2.782637222222222
4,20201126-Pro-ter_mTurq2-collection_n3,pCLN2-mTurq-tPAB1,0.36410089956093405,2.723344166666667
5,20201126-Pro-ter_mTurq2-collection_n3,pCLN2-mTurq-tPGK1,0.3771244585076668,2.7593434259259264
6,20201126-Pro-ter_mTurq2-collection_n3,pCLN2-mTurq-tPMA1_long,0.36754733139515344,2.9329875
7,20201126-Pro-ter_mTurq2-collection_n3,pCLN2-mTurq-tRPS13,0.37364694889576333,2.9647525000000003
8,20201126-Pro-ter_mTurq2-collection_n3,pCLN2-mTurq-tRPS3,0.36740383937065196,3.0049883333333325
9,20201126-Pro-ter_mTurq2-collection_n3,pCLN2-mTurq-tSRO9_long,0.3574837323868427,2.8800482407407406
10,20201126-Pro-ter_mTurq2-collection_n3,pCLN2-mTurq-tSUN4,0.35642184090002016,2.7466380555555556
11,20201126-Pro-ter_mTurq2-collection_n3,pCLN2-mTurq-tTOS6,0.38059276795288,2.960516759259259
12,20201126-Pro-ter_mTurq2-collection_n3,pHSP26-mTurq-tCLN2,0.3673796288019139,3.0049876851851844
13,20201126-Pro-ter_mTurq2-collection_n3,pHSP26-mTurq-tHSP26,0.3734777803463797,3.0812228703703703
14,20201126-Pro-ter_mTurq2-collection_n3,pHSP26-mTurq-tPAB1,0.36122970673730115,3.015575740740741
15,20201126-Pro-ter_mTurq2-collection_n3,pHSP26-mTurq-tPGK1,0.35367409548925166,3.0282817592592592
16,20201126-Pro-ter_mTurq2-collection_n3,pHSP26-mTurq-tPMA1_long,0.35674716779869947,3.187104444444444
17,20201126-Pro-ter_mTurq2-collection_n3,pHSP26-mTurq-tRPS13,0.42992646194178646,6.350836111111112
18,20201126-Pro-ter_mTurq2-collection_n3,pHSP26-mTurq-tRPS3,0.3622993506292193,3.0134580555555543
19,20201126-Pro-ter_mTurq2-collection_n3,pHSP26-mTurq-tSRO9_long,0.3558930683786011,3.132045648148148
20,20201126-Pro-ter_mTurq2-collection_n3,pHSP26-mTurq-tSUN4,0.3443642333355877,2.958399351851851
21,20201126-Pro-ter_mTurq2-collection_n3,pHSP26-mTurq-tTOS6,0.3544064040365986,3.125692962962962
22,20201126-Pro-ter_mTurq2-collection_n3,pPGK1-mTurq-tCLN2,0.38931557159549984,2.73816787037037
23,20201126-Pro-ter_mTurq2-collection_n3,pPGK1-mTurq-tHSP26,0.3806642209822511,2.8249897222222216
24,20201126-Pro-ter_mTurq2-collection_n3,pPGK1-mTurq-tPAB1,0.3748523962681468,2.831343055555555
25,20201126-Pro-ter_mTurq2-collection_n3,pPGK1-mTurq-tPGK1,0.3892076078834956,2.85675287037037
26,20201126-Pro-ter_mTurq2-collection_n3,pPGK1-mTurq-tPMA1_long,0.37732490461880785,2.9795757407407395
27,20201126-Pro-ter_mTurq2-collection_n3,pPGK1-mTurq-tRPS13,0.3805557403134733,3.1405172222222215
28,20201126-Pro-ter_mTurq2-collection_n3,pPGK1-mTurq-tRPS3,0.3666232841016187,2.848283240740741
29,20201126-Pro-ter_mTurq2-collection_n3,pPGK1-mTurq-tSRO9_long,0.36857841616223924,2.9583997222222216
30,20201126-Pro-ter_mTurq2-collection_n3,pPGK1-mTurq-tSUN4,0.373014952401871,3.0515760185185177
31,20201126-Pro-ter_mTurq2-collection_n3,pPGK1-mTurq-tTOS6,0.3744459620431902,2.7847554629629627
32,20201126-Pro-ter_mTurq2-collection_n3,pRPS13-mTurq-tCLN2,0.3920263206462103,2.873694166666666
33,20201126-Pro-ter_mTurq2-collection_n3,pRPS13-mTurq-tHSP26,0.38935664118954677,2.9901646296296294
34,20201126-Pro-ter_mTurq2-collection_n3,pRPS13-mTurq-tPAB1,0.37753691586797794,2.9118125925925913
35,20201126-Pro-ter_mTurq2-collection_n3,pRPS13-mTurq-tPGK1,0.37202493019499444,3.3649855555555552
36,20201126-Pro-ter_mTurq2-collection_n3,pRPS13-mTurq-tPMA1_long,0.36509910879089097,2.829224537037037
37,20201126-Pro-ter_mTurq2-collection_n3,pRPS13-mTurq-tRPS13,0.37903990024572864,3.1172221296296287
38,20201126-Pro-ter_mTurq2-collection_n3,pRPS13-mTurq-tRPS3,0.37913662313784463,3.244281203703703
39,20201126-Pro-ter_mTurq2-collection_n3,pRPS13-mTurq-tSRO9_long,0.37121039621253177,3.14051611111111
40,20201126-Pro-ter_mTurq2-collection_n3,pRPS13-mTurq-tSUN4,0.3702396622335081,3.0769875
41,20201126-Pro-ter_mTurq2-collection_n3,pRPS13-mTurq-tTOS6,0.38586027687268554,2.856753425925926
42,20201126-Pro-ter_mTurq2-collection_n3,pRPS3-mTurq-tCLN2,0.3791987228175848,2.7868719444444445
43,20201126-Pro-ter_mTurq2-collection_n3,pRPS3-mTurq-tHSP26,0.3787041514796962,3.0240463888888884
44,20201126-Pro-ter_mTurq2-collection_n3,pRPS3-mTurq-tPAB1,0.3870952504578895,2.9329887037037032
45,20201126-Pro-ter_mTurq2-collection_n3,pRPS3-mTurq-tPGK1,0.37248624611795994,2.9965172222222223
46,20201126-Pro-ter_mTurq2-collection_n3,pRPS3-mTurq-tPMA1_long,0.3754855093101243,3.0134576851851853
