,strain,mCherry-100 per OD at max local gr,time at max local gr
0,POT1-ccdB clone 1,23.290359952621365,2.803078194444445
1,POT1-ccdB clone 2,-7.793017190177594,2.6210161111111114
2,POT1-ccdB clone 3,13.41116806040961,2.968072916666667
3,null,,
4,tTSA1-200bp-mod0 clone 1,7897.87291542129,2.5868791666666664
5,tTSA1-200bp-mod0 clone 2,7280.257265960897,2.65704875
6,tTSA1-200bp-mod0 clone 3,6755.519838498698,2.778423888888889
7,tTSA1-200bp-modA clone 1,3474.547857647169,2.6399813888888883
8,tTSA1-200bp-modA clone 2,3182.7668311641683,3.2013397222222215
9,tTSA1-200bp-modA clone 3,3555.539651087248,2.820146666666667
10,tTSA1-200bp-modB clone 1,7216.013424878445,2.822042916666667
11,tTSA1-200bp-modB clone 2,7907.518714426298,2.590672222222222
12,tTSA1-200bp-modB clone 3,7990.733636543332,2.8713516666666665
13,tTSA1-200bp-modC clone 1,10583.529804318207,2.5982579166666664
14,tTSA1-200bp-modC clone 2,5304.6677627363215,7.709283333333334
15,tTSA1-200bp-modC clone 3,10691.675178236239,2.5470536111111106
16,tTSA1-200bp-modD clone 1,3916.442161726715,8.029788888888888
17,tTSA1-200bp-modD clone 2,5680.667518467824,2.8201463888888894
18,tTSA1-200bp-modD clone 3,5852.548926116381,2.6418777777777778
19,tTSA1-200bp-modE clone 1,3914.587481992934,2.4787809722222223
20,tTSA1-200bp-modE clone 2,3792.7011452952515,2.596361527777778
21,tTSA1-200bp-modE clone 3,3774.582161757795,2.440850555555555
22,tTSA1-WT-200bp clone 1,6713.286884838023,2.7651486111111114
23,tTSA1-WT-200bp clone 2,6627.9014963552045,2.8087679166666675
24,tTSA1-WT-200bp clone 3,6785.047593254303,2.6760141666666675
