Sample_Name, Construct_Name
1dt 2dt, POT1-ccdB
3dt 4dt, pRPS3-mCherry-tRPS3_WT
5dt 6dt, pRPS3-mCherry-tRPS3_mod0
7dt 8dt, pRPS3-mCherry-tRPS3_modA
9dt 10dt, pRPS3-mCherry-tRPS3_modB
11dt 12dt, pRPS3-mCherry-tRPS3_modC
13dt 14dt, pRPS3-mCherry-tRPS3_modD
15dt 16dt, pRPS3-mCherry-tRPS3_modE
