"strain","Pro_mCh","Promoter","mCherry","UTR3","Terminator","Length","target_id","BioRep","ExpRep","median_deltacq","rel_abund_deltacq","na.rm","remove"
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","SRO9-ORF","BioRep6","2",2.87833333333333,0.135998879165294,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep1","1",0.186666666666667,0.878633452221213,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep2","1",0.551666666666666,0.682231528184486,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep3","1",0.741666666666667,0.598048060868702,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep4","2",0.0216666666666665,0.985094021651508,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep5","2",0.306666666666665,0.808507652159863,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","URA3-ORF","BioRep6","2",0.348333333333333,0.785491008740416,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","mCh-7","BioRep1","1",-0.335000000000001,1.26137740883125,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","mCh-7","BioRep2","1",0.203333333333333,0.868541486271736,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","mCh-7","BioRep3","1",-0.0483333333333338,1.03406962946493,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","mCh-7","BioRep4","2",-0.243333333333334,1.18372448858984,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","mCh-7","BioRep5","2",-0.283333333333333,1.21700351367059,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","mCh-7","BioRep6","2",-0.406666666666666,1.32561944178653,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","PGK1-ORF","BioRep1","1",-0.365,1.28788162950983,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","PGK1-ORF","BioRep2","1",-0.556666666666667,1.47086686418595,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","PGK1-ORF","BioRep3","1",-0.668333333333333,1.58923594924834,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","PGK1-ORF","BioRep4","2",-0.343333333333334,1.26868449382493,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","PGK1-ORF","BioRep5","2",-0.463333333333333,1.37872366898578,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","PGK1-ORF","BioRep6","2",-0.506666666666666,1.42076373912898,FALSE,FALSE
