"strain","Pro_mCh","Promoter","mCherry","UTR3","Terminator","Length","target_id","BioRep","ExpRep","median_deltacq","rel_abund_deltacq","na.rm","remove"
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep5","2",-0.455,1.3707828049797,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep6","2",0.698333333333332,0.616283754498608,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep1","1",4.16333333333333,0.0558099694412739,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep2","1",3.98333333333333,0.0632262150188702,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep3","1",4.19166666666667,0.0547246007128678,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep4","2",3.515,0.0874741165996997,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep5","2",4.50833333333333,0.0439396341131984,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","mCh-7","BioRep6","2",3.995,0.062716984281844,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep1","1",-0.436666666666667,1.35347352413725,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep2","1",-0.476666666666667,1.39152484417842,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep3","1",-0.288333333333332,1.22122864380524,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep4","2",-0.504999999999999,1.41912335620038,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep5","2",-0.491666666666667,1.40606829162235,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","PGK1-ORF","BioRep6","2",-0.425000000000001,1.34257250278026,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep1","1",0.453333333333333,0.730353422305036,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep2","1",0.453333333333333,0.730353422305036,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep3","1",0.291666666666668,0.816957726620549,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep4","2",0.535,0.690158676698315,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep5","2",0.358333333333333,0.780065226013374,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","RPS3-ORF","BioRep6","2",0.625,0.648419777325505,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep1","1",3.04333333333333,0.121301278936693,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep2","1",2.68333333333333,0.155681202794853,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep3","1",2.98166666666667,0.126598598027018,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep4","2",3.475,0.0899333487506762,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep5","2",3.40833333333333,0.094186667592161,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","SRO9-ORF","BioRep6","2",2.945,0.129857387912208,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep1","1",0.503333333333334,0.705474903559024,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep2","1",0.523333333333333,0.695762422089208,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep3","1",0.381666666666668,0.767550369306168,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep4","2",-0.514999999999999,1.42899413974109,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep5","2",0.298333333333334,0.813191289341732,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-543bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-543bp","tSRO9_WT","543bp","URA3-ORF","BioRep6","2",0.565,0.675955416514063,FALSE,FALSE
