exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
2,mCh-7,pPGK1-mCherry-tPIR1_modG_bio_rep4,pPGK1-mCherry-tPIR1_modG,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,0.23999999999999844,tPIR1_modG,tPIR1,modG,0.8605555555555551,-0.6205555555555566,1.5374671178631245,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modG_bio_rep5,pPGK1-mCherry-tPIR1_modG,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,0.23000000000000043,tPIR1_modG,tPIR1,modG,0.8605555555555551,-0.6305555555555546,1.5481610473619785,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_modG_bio_rep6,pPGK1-mCherry-tPIR1_modG,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,0.07833333333333492,tPIR1_modG,tPIR1,modG,0.8605555555555551,-0.7822222222222202,1.719777854123219,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_WT_bio_rep4,pPGK1-mCherry-tPIR1_WT,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,0.7566666666666659,tPIR1_WT,tPIR1,WT,0.8605555555555551,-0.10388888888888914,1.0746664027807589,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_WT_bio_rep5,pPGK1-mCherry-tPIR1_WT,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,1.0099999999999998,tPIR1_WT,tPIR1,WT,0.8605555555555551,0.1494444444444447,0.9015975845623395,FALSE
2,mCh-7,pPGK1-mCherry-tPIR1_WT_bio_rep6,pPGK1-mCherry-tPIR1_WT,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,0.8149999999999995,tPIR1_WT,tPIR1,WT,0.8605555555555551,-0.04555555555555557,1.032080538185926,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modA_bio_rep1,pPGK1-mCherry-tPIR1_modA,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,-0.12666666666666693,tPIR1_modA,tPIR1,modA,0.5611111111111112,-0.6877777777777782,1.6108004470345767,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modA_bio_rep2,pPGK1-mCherry-tPIR1_modA,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,0.025000000000000355,tPIR1_modA,tPIR1,modA,0.5611111111111112,-0.5361111111111109,1.450058506796841,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modA_bio_rep3,pPGK1-mCherry-tPIR1_modA,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,0.05333333333333279,tPIR1_modA,tPIR1,modA,0.5611111111111112,-0.5077777777777784,1.4218583810237475,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modB_bio_rep1,pPGK1-mCherry-tPIR1_modB,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,0.2833333333333332,tPIR1_modB,tPIR1,modB,0.5611111111111112,-0.277777777777778,1.2123260668135447,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modB_bio_rep2,pPGK1-mCherry-tPIR1_modB,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,0.4900000000000002,tPIR1_modB,tPIR1,modB,0.5611111111111112,-0.07111111111111101,1.0505254485344229,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modB_bio_rep3,pPGK1-mCherry-tPIR1_modB,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,0.6183333333333323,tPIR1_modB,tPIR1,modB,0.5611111111111112,0.057222222222221064,0.9611128741689187,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modC_bio_rep1,pPGK1-mCherry-tPIR1_modC,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,0.41666666666666785,tPIR1_modC,tPIR1,modC,0.5611111111111112,-0.14444444444444338,1.105304938579239,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modC_bio_rep2,pPGK1-mCherry-tPIR1_modC,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,0.341666666666665,tPIR1_modC,tPIR1,modC,0.5611111111111112,-0.21944444444444622,1.1642851551478257,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modC_bio_rep3,pPGK1-mCherry-tPIR1_modC,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,0.5416666666666661,tPIR1_modC,tPIR1,modC,0.5611111111111112,-0.019444444444445153,1.0135690976512541,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modD_bio_rep1,pPGK1-mCherry-tPIR1_modD,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,0.6766666666666676,tPIR1_modD,tPIR1,modD,0.5611111111111112,0.11555555555555641,0.9230268014920384,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modD_bio_rep2,pPGK1-mCherry-tPIR1_modD,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,0.7783333333333324,tPIR1_modD,tPIR1,modD,0.5611111111111112,0.2172222222222212,0.8602201183728239,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modD_bio_rep3,pPGK1-mCherry-tPIR1_modD,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,0.7083333333333339,tPIR1_modD,tPIR1,modD,0.5611111111111112,0.1472222222222227,0.902987409844162,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modE_bio_rep1,pPGK1-mCherry-tPIR1_modE,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,0.41000000000000014,tPIR1_modE,tPIR1,modE,0.5611111111111112,-0.15111111111111108,1.110424351169721,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modE_bio_rep2,pPGK1-mCherry-tPIR1_modE,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,0.5216666666666665,tPIR1_modE,tPIR1,modE,0.5611111111111112,-0.039444444444444726,1.0277179949857147,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modE_bio_rep3,pPGK1-mCherry-tPIR1_modE,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,0.28666666666666707,tPIR1_modE,tPIR1,modE,0.5611111111111112,-0.27444444444444416,1.2095282322596506,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modF_bio_rep1,pPGK1-mCherry-tPIR1_modF,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,0.2900000000000009,tPIR1_modF,tPIR1,modF,0.5611111111111112,-0.2711111111111103,1.2067368546140131,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modF_bio_rep2,pPGK1-mCherry-tPIR1_modF,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,0.04499999999999993,tPIR1_modF,tPIR1,modF,0.5611111111111112,-0.5161111111111113,1.430095122831851,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modF_bio_rep3,pPGK1-mCherry-tPIR1_modF,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,-0.22166666666666757,tPIR1_modF,tPIR1,modF,0.5611111111111112,-0.7827777777777788,1.7204402367456477,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modG_bio_rep1,pPGK1-mCherry-tPIR1_modG,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,-0.10500000000000043,tPIR1_modG,tPIR1,modG,0.5611111111111112,-0.6661111111111117,1.5867898904473374,FALSE
1,mCh-7,pPGK1-mCherry-tPIR1_modG_bio_rep2,pPGK1-mCherry-tPIR1_modG,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,0.20999999999999908,tPIR1_modG,tPIR1,modG,0.5611111111111112,-0.35111111111111215,1.2755426255373092,FALSE
