exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
1,mCh-7,pPGK1-mCherry-tRPS3_WT_bio_rep3,pPGK1-mCherry-tRPS3_WT,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,-2.7522222222222226,tRPS3_WT,tRPS3,WT,-2.16,-0.5922222222222224,1.5075671063170297,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_mod0_bio_rep4,pPGK1-mCherry-tRPS3_mod0,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,-2.695555555555556,tRPS3_mod0,tRPS3,mod0,-2.284814814814815,-0.41074074074074085,1.329368192837329,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_mod0_bio_rep5,pPGK1-mCherry-tRPS3_mod0,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,-2.1355555555555554,tRPS3_mod0,tRPS3,mod0,-2.284814814814815,0.14925925925925965,0.9017133215872055,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_mod0_bio_rep6,pPGK1-mCherry-tRPS3_mod0,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,-2.0233333333333334,tRPS3_mod0,tRPS3,mod0,-2.284814814814815,0.26148148148148165,0.8342308205569627,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modA_bio_rep4,pPGK1-mCherry-tRPS3_modA,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,-2.6400000000000006,tRPS3_modA,tRPS3,modA,-2.284814814814815,-0.3551851851851855,1.2791497631569708,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modA_bio_rep5,pPGK1-mCherry-tRPS3_modA,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,-2.165555555555555,tRPS3_modA,tRPS3,modA,-2.284814814814815,0.11925925925926029,0.9206602352522463,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modA_bio_rep6,pPGK1-mCherry-tRPS3_modA,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,-2.257777777777779,tRPS3_modA,tRPS3,modA,-2.284814814814815,0.027037037037036082,0.9814338680441945,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modB_bio_rep4,pPGK1-mCherry-tRPS3_modB,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,-1.2166666666666668,tRPS3_modB,tRPS3,modB,-2.284814814814815,1.0681481481481483,0.4769307974646369,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modB_bio_rep5,pPGK1-mCherry-tRPS3_modB,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,-1.343333333333332,tRPS3_modB,tRPS3,modB,-2.284814814814815,0.9414814814814831,0.5206979090682572,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modB_bio_rep6,pPGK1-mCherry-tRPS3_modB,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,-1.003333333333332,tRPS3_modB,tRPS3,modB,-2.284814814814815,1.281481481481483,0.41137285916480343,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modC_bio_rep4,pPGK1-mCherry-tRPS3_modC,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,-2.754444444444445,tRPS3_modC,tRPS3,modC,-2.284814814814815,-0.46962962962963006,1.384753926816076,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modC_bio_rep5,pPGK1-mCherry-tRPS3_modC,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,-2.158888888888889,tRPS3_modC,tRPS3,modC,-2.284814814814815,0.12592592592592622,0.9164156961308373,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modC_bio_rep6,pPGK1-mCherry-tRPS3_modC,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,-2.4511111111111106,tRPS3_modC,tRPS3,modC,-2.284814814814815,-0.1662962962962955,1.1221739255152807,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modD_bio_rep4,pPGK1-mCherry-tRPS3_modD,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,-1.7277777777777779,tRPS3_modD,tRPS3,modD,-2.284814814814815,0.5570370370370372,0.6796966714763704,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modD_bio_rep5,pPGK1-mCherry-tRPS3_modD,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,-2.2233333333333327,tRPS3_modD,tRPS3,modD,-2.284814814814815,0.06148148148148236,0.9582795712616093,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modD_bio_rep6,pPGK1-mCherry-tRPS3_modD,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,-1.782222222222222,tRPS3_modD,tRPS3,modD,-2.284814814814815,0.5025925925925931,0.7058372172612262,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modE_bio_rep4,pPGK1-mCherry-tRPS3_modE,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,-1.355555555555556,tRPS3_modE,tRPS3,modE,-2.284814814814815,0.929259259259259,0.5251278955093253,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modE_bio_rep5,pPGK1-mCherry-tRPS3_modE,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,-1.4277777777777771,tRPS3_modE,tRPS3,modE,-2.284814814814815,0.8570370370370379,0.5520852502020385,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_modE_bio_rep6,pPGK1-mCherry-tRPS3_modE,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,-1.7088888888888878,tRPS3_modE,tRPS3,modE,-2.284814814814815,0.5759259259259273,0.6708555561226054,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_WT_bio_rep4,pPGK1-mCherry-tRPS3_WT,bio_rep4,pPGK1-mCherry,pPGK1,mCherry,-2.2377777777777776,tRPS3_WT,tRPS3,WT,-2.284814814814815,0.04703703703703743,0.9679221779626037,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_WT_bio_rep5,pPGK1-mCherry-tRPS3_WT,bio_rep5,pPGK1-mCherry,pPGK1,mCherry,-2.0533333333333346,tRPS3_WT,tRPS3,WT,-2.284814814814815,0.2314814814814805,0.8517597834273213,FALSE
2,mCh-7,pPGK1-mCherry-tRPS3_WT_bio_rep6,pPGK1-mCherry-tRPS3_WT,bio_rep6,pPGK1-mCherry,pPGK1,mCherry,-2.4177777777777774,tRPS3_WT,tRPS3,WT,-2.284814814814815,-0.13296296296296228,1.0965434376342456,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_mod0_bio_rep1,pRPS3-mCherry-tRPS3_mod0,bio_rep1,pRPS3-mCherry,pRPS3,mCherry,-0.21777777777777807,tRPS3_mod0,tRPS3,mod0,-0.5648148148148143,0.34703703703703626,0.7861971085364722,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_mod0_bio_rep2,pRPS3-mCherry-tRPS3_mod0,bio_rep2,pRPS3-mCherry,pRPS3,mCherry,-1.123333333333333,tRPS3_mod0,tRPS3,mod0,-0.5648148148148143,-0.5585185185185187,1.4727560898072858,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_mod0_bio_rep3,pRPS3-mCherry-tRPS3_mod0,bio_rep3,pRPS3-mCherry,pRPS3,mCherry,-0.3533333333333317,tRPS3_mod0,tRPS3,mod0,-0.5648148148148143,0.2114814814814826,0.8636499069100334,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modA_bio_rep1,pRPS3-mCherry-tRPS3_modA,bio_rep1,pRPS3-mCherry,pRPS3,mCherry,-0.6277777777777782,tRPS3_modA,tRPS3,modA,-0.5648148148148143,-0.06296296296296389,1.044608945196106,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modA_bio_rep2,pRPS3-mCherry-tRPS3_modA,bio_rep2,pRPS3-mCherry,pRPS3,mCherry,-0.4066666666666663,tRPS3_modA,tRPS3,modA,-0.5648148148148143,0.15814814814814804,0.8961746680376135,FALSE
