"strain","pro_mCh","promoter","mCherry","target_id","UTR3","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modA","tPIR1","modA","bio_rep6","2",2.66833333333333,0.157308296554858,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modA","tPIR1","modA","bio_rep1","1",2.65666666666667,0.158585561728116,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modA","tPIR1","modA","bio_rep2","1",3.465,0.0905588846596799,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modA","tPIR1","modA","bio_rep3","1",2.84333333333333,0.139338579573615,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modA","tPIR1","modA","bio_rep4","2",-0.520000000000001,1.43395524801583,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modA","tPIR1","modA","bio_rep5","2",-0.508333333333333,1.42240601819728,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modA","tPIR1","modA","bio_rep6","2",-0.611666666666666,1.52802343159846,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modA","tPIR1","modA","bio_rep1","1",-0.613333333333332,1.52978969352399,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modA","tPIR1","modA","bio_rep2","1",-0.674999999999999,1.5965967727133,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modA","tPIR1","modA","bio_rep3","1",-0.856666666666667,1.81084952261669,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modA","tPIR1","modA","bio_rep4","2",-0.18,1.1328838852958,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modA","tPIR1","modA","bio_rep5","2",-0.268333333333333,1.2044156281848,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modA","tPIR1","modA","bio_rep6","2",-0.181666666666667,1.1341934003407,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modA","tPIR1","modA","bio_rep1","1",1.11666666666667,0.461158096792969,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modA","tPIR1","modA","bio_rep2","1",0.635,0.643940814754913,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modA","tPIR1","modA","bio_rep3","1",0.523333333333333,0.695762422089208,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modA","tPIR1","modA","bio_rep4","2",0.49,0.712025097798536,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modA","tPIR1","modA","bio_rep5","2",0.511666666666667,0.701411667107168,FALSE,FALSE
