exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
1,mCh-7,pPGK1-mCherry-tTSA1_mod0_bio_rep1,pPGK1-mCherry-tTSA1_mod0,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,-0.8699999999999992,tTSA1_mod0,tTSA1,mod0,-0.4794444444444442,-0.39055555555555505,1.3108981096360162,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_mod0_bio_rep2,pPGK1-mCherry-tTSA1_mod0,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,-0.2666666666666675,tTSA1_mod0,tTSA1,mod0,-0.4794444444444442,0.21277777777777668,0.8628742451624755,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_mod0_bio_rep3,pPGK1-mCherry-tTSA1_mod0,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,-0.30166666666666586,tTSA1_mod0,tTSA1,mod0,-0.4794444444444442,0.1777777777777783,0.8840636953004916,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modA_bio_rep1,pPGK1-mCherry-tTSA1_modA,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,0.16999999999999993,tTSA1_modA,tTSA1,modA,-0.4794444444444442,0.649444444444444,0.6375257659454423,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modA_bio_rep2,pPGK1-mCherry-tTSA1_modA,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,0.4666666666666668,tTSA1_modA,tTSA1,modA,-0.4794444444444442,0.9461111111111109,0.5190296599604578,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modA_bio_rep3,pPGK1-mCherry-tTSA1_modA,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,0.44833333333333414,tTSA1_modA,tTSA1,modA,-0.4794444444444442,0.9277777777777783,0.5256674182834711,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modB_bio_rep1,pPGK1-mCherry-tTSA1_modB,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,-0.33833333333333293,tTSA1_modB,tTSA1,modB,-0.4794444444444442,0.14111111111111124,0.9068204862366283,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modB_bio_rep2,pPGK1-mCherry-tTSA1_modB,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,-0.32333333333333414,tTSA1_modB,tTSA1,modB,-0.4794444444444442,0.15611111111111003,0.8974409303777544,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modB_bio_rep3,pPGK1-mCherry-tTSA1_modB,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,-0.22500000000000142,tTSA1_modB,tTSA1,modB,-0.4794444444444442,0.25444444444444275,0.8383098903741525,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modC_bio_rep1,pPGK1-mCherry-tTSA1_modC,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,-0.5416666666666679,tTSA1_modC,tTSA1,modC,-0.4794444444444442,-0.06222222222222368,1.0440727363861544,FALSE
