"strain","pro_mCh","promoter","mCherry","target_id","ter_mod","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep4","2",-1.465,2.76063470679326,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep5","2",-1.21,2.31337636781057,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep6","2",-0.896666666666667,1.86175943219575,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep1","1",-0.913333333333332,1.88339203477469,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep2","1",-1.03333333333333,2.04674778399355,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep3","1",-0.49,1.404444875738,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep4","2",-0.284999999999998,1.21841026367519,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep5","2",-0.380000000000001,1.30134185544193,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep6","2",-0.396666666666667,1.31646271944363,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep1","1",-1.52333333333333,2.87454443715784,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep2","1",-0.493333333333334,1.40769358403399,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep3","1",0.220000000000001,0.858565436437753,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep4","2",1.595,0.331022227598849,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep5","2",1.19,0.438302860658018,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep6","2",1.13333333333333,0.455861244279108,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep1","1",0.976666666666667,0.508152466084094,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep2","1",1.11666666666667,0.461158096792969,FALSE,FALSE
"pTSA1-mCherry-tTSA1_mod0","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_mod0","tTSA1","mod0","bio_rep3","1",0.48,0.716977624007913,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modA","tTSA1","modA","bio_rep4","2",0.465,0.72447107727744,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modA","tTSA1","modA","bio_rep5","2",0.776666666666666,0.583713901878486,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modA","tTSA1","modA","bio_rep6","2",1.18166666666667,0.44084192329968,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modA","tTSA1","modA","bio_rep1","1",1.15333333333333,0.449585267819093,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modA","tTSA1","modA","bio_rep2","1",1.26,0.417543959714184,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modA","tTSA1","modA","bio_rep3","1",0.946666666666667,0.518829829579873,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modA","tTSA1","modA","bio_rep4","2",-1.085,2.12137548273644,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modA","tTSA1","modA","bio_rep5","2",-1.13333333333333,2.19364995938925,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modA","tTSA1","modA","bio_rep6","2",-1.42833333333333,2.69135618052809,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modA","tTSA1","modA","bio_rep1","1",-0.976666666666667,1.96791330701622,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modA","tTSA1","modA","bio_rep2","1",-0.91,1.87904549842802,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modA","tTSA1","modA","bio_rep3","1",-1.08333333333333,2.11892618871859,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modA","tTSA1","modA","bio_rep4","2",-0.525,1.43893358001082,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modA","tTSA1","modA","bio_rep5","2",-0.303333333333335,1.23399224962407,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modA","tTSA1","modA","bio_rep6","2",-0.588333333333333,1.50350882223761,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modA","tTSA1","modA","bio_rep1","1",-0.466666666666667,1.38191287996778,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modA","tTSA1","modA","bio_rep2","1",-0.809999999999999,1.75321144263207,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modA","tTSA1","modA","bio_rep3","1",-0.0833333333333339,1.0594630943593,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modA","tTSA1","modA","bio_rep4","2",1.115,0.461691155364697,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modA","tTSA1","modA","bio_rep5","2",1.09666666666667,0.46759562392516,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modA","tTSA1","modA","bio_rep6","2",1.22166666666667,0.428787077724182,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modA","tTSA1","modA","bio_rep1","1",1.01333333333333,0.495400306632615,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modA","tTSA1","modA","bio_rep2","1",1.02,0.493116352246679,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modA","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modA","tTSA1","modA","bio_rep3","1",0.886666666666667,0.540862333040052,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modB","tTSA1","modB","bio_rep4","2",-0.156666666666668,1.11470863658892,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modB","tTSA1","modB","bio_rep5","2",-0.215,1.16070391438372,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modB","tTSA1","modB","bio_rep6","2",0.105,0.929804942613162,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modB","tTSA1","modB","bio_rep1","1",0.440000000000001,0.73713460864555,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modB","tTSA1","modB","bio_rep2","1",0.195,0.873572895916694,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modB","tTSA1","modB","bio_rep3","1",0.928333333333333,0.52546503231527,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modB","tTSA1","modB","bio_rep4","2",-0.876666666666667,1.83612803993044,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modB","tTSA1","modB","bio_rep5","2",-0.574999999999999,1.4896774631227,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modB","tTSA1","modB","bio_rep6","2",-1.075,2.10672207190967,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modB","tTSA1","modB","bio_rep1","1",-1.47,2.77021893622185,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modB","tTSA1","modB","bio_rep2","1",-0.505000000000001,1.41912335620038,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modB","tTSA1","modB","bio_rep3","1",-1.04166666666667,2.05860447328698,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modB","tTSA1","modB","bio_rep4","2",-0.376666666666667,1.29833858816158,FALSE,FALSE
