,strain,mCherry-100 per OD at max local gr
0,POT1-ccdB_clone_1,4.559443327766781
1,POT1-ccdB_clone_2,11.45805477449977
2,POT1-ccdB_clone_3,13.934745123988113
3,null,
4,tRPS3-200bp-mod0_clone_1,5155.061524555323
5,tRPS3-200bp-mod0_clone_2,5160.445855250755
6,tRPS3-200bp-mod0_clone_3,5993.926423957561
7,tRPS3-200bp-modA_clone_1,3742.0715135949104
8,tRPS3-200bp-modA_clone_2,3507.1417155900335
9,tRPS3-200bp-modA_clone_3,4281.777955324089
10,tRPS3-200bp-modB_clone_1,2572.6636906936615
11,tRPS3-200bp-modB_clone_2,2752.4264719001458
12,tRPS3-200bp-modB_clone_3,2648.1671136184664
13,tRPS3-200bp-modC_clone_1,5378.63747736594
14,tRPS3-200bp-modC_clone_2,6674.724708418911
15,tRPS3-200bp-modC_clone_3,5526.6786660395555
16,tRPS3-200bp-modD_clone_1,2898.0649216235884
17,tRPS3-200bp-modD_clone_2,2867.418951864072
18,tRPS3-200bp-modD_clone_3,2641.3196366115844
19,tRPS3-200bp-modE_clone_1,2078.077894466738
20,tRPS3-200bp-modE_clone_2,2478.3087762298996
21,tRPS3-200bp-modE_clone_3,2429.0323011936193
22,tRPS3-WT-200bp_clone_1,6704.5302602045995
23,tRPS3-WT-200bp_clone_2,7716.664329810103
24,tRPS3-WT-200bp_clone_3,6618.328399239041
