"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","Ter_mod","Terminator","Construct","BioRep","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp","Value.norm.mod0"
TRUE,255,"E6","Sample 102",13.31,NA,0,NA,"E6",13.31,"2","E","6","pRPS3-mCherry-tRPS3_mod0_BioRep6","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep6",FALSE,"+RT","2","mCh-7",14.67,-1.36,2.56685179512581,-0.495
TRUE,255,"I6","Sample 198",12.88,NA,0,NA,"I6",12.88,"2","I","6","pRPS3-mCherry-tRPS3_mod0_BioRep6","pRPS3-mCherry-tRPS3_mod0","pRPS3-mCherry","pRPS3","mCherry","tRPS3_mod0","tRPS3","mod0","BioRep6",FALSE,"+RT","3","mCh-7",14.67,-1.79,3.45814892523146,-0.925
TRUE,255,"A7","Sample 7",10.69,NA,0,NA,"A7",10.69,"1","A","7","pRPS3-mCherry-tRPS3_modA_BioRep1","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep1",FALSE,"+RT","1","mCh-7",10.56,0.129999999999999,0.913831450229401,0.994999999999998
TRUE,255,"E7","Sample 103",9.92,NA,0,NA,"E7",9.92,"1","E","7","pRPS3-mCherry-tRPS3_modA_BioRep1","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep1",FALSE,"+RT","2","mCh-7",10.56,-0.640000000000001,1.558329159321,0.224999999999999
TRUE,255,"I7","Sample 199",9.48,NA,0,NA,"I7",9.48,"1","I","7","pRPS3-mCherry-tRPS3_modA_BioRep1","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep1",FALSE,"+RT","3","mCh-7",10.56,-1.08,2.11403608112276,-0.215000000000001
TRUE,255,"A8","Sample 8",9.58,NA,0,NA,"A8",9.58,"1","A","8","pRPS3-mCherry-tRPS3_modA_BioRep2","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep2",FALSE,"+RT","1","mCh-7",9.9,-0.32,1.24833054890161,0.544999999999999
TRUE,255,"E8","Sample 104",9.7,NA,0,NA,"E8",9.7,"1","E","8","pRPS3-mCherry-tRPS3_modA_BioRep2","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep2",FALSE,"+RT","2","mCh-7",9.9,-0.200000000000001,1.14869835499704,0.664999999999998
TRUE,255,"I8","Sample 200",8.97,NA,0,NA,"I8",8.97,"1","I","8","pRPS3-mCherry-tRPS3_modA_BioRep2","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep2",FALSE,"+RT","3","mCh-7",9.9,-0.93,1.90527599608787,-0.0650000000000004
TRUE,255,"A9","Sample 9",10.89,NA,0,NA,"A9",10.89,"1","A","9","pRPS3-mCherry-tRPS3_modA_BioRep3","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep3",FALSE,"+RT","1","mCh-7",10.73,0.16,0.895025070927972,1.025
TRUE,255,"E9","Sample 105",10.59,NA,0,NA,"E9",10.59,"1","E","9","pRPS3-mCherry-tRPS3_modA_BioRep3","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep3",FALSE,"+RT","2","mCh-7",10.73,-0.140000000000001,1.10190511587661,0.724999999999999
TRUE,255,"I9","Sample 201",9.92,NA,0,NA,"I9",9.92,"1","I","9","pRPS3-mCherry-tRPS3_modA_BioRep3","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep3",FALSE,"+RT","3","mCh-7",10.73,-0.81,1.75321144263207,0.0549999999999988
