sample_name,construct_name
WD_C7,pRPS3-mCherry-tTOS6_b1
WD_C8,pRPS3-mCherry-tTOS6_b2
WD_C9,pRPS3-mCherry-tHSP26_b1
WD_C10,pRPS3-mCherry-tHSP26_b2
WD_C11,pRPS13-mCherry-tHSP26_b1
WD_C12,pRPS13-mCherry-tHSP26_b2
WD_C13,pHSP26-mCherry-tHSP26_b1
WD_C14,pHSP26-mCherry-tHSP26_b2
WD_C15,pRPS3-mCherry-tHSP26_b3
WD_C16,pRPS3-mCherry-tHSP26_b4
WD_E2,pRPS3-mCherry-tPMA1-long_b1
WD_E3,pRPS3-mCherry-tPMA1-long_b2
