,strain,c-mCherry-100 per OD at max local gr
0,Null,
1,POT1-ccdB_biorep5,0.470759192050854
2,pCLN2-mCherry-tCLN2_biorep5,118.25067063530315
3,pCLN2-mCherry-tHSP26_biorep5,85.55025128673799
4,pCLN2-mCherry-tPAB1_biorep5,89.16404788225222
5,pCLN2-mCherry-tPGK1_biorep5,63.663820165786866
6,pCLN2-mCherry-tPMA1_biorep5,64.89319828625138
7,pCLN2-mCherry-tRPS13_biorep5,85.45468571113607
8,pCLN2-mCherry-tRPS3_biorep5,77.91039087788965
9,pCLN2-mCherry-tSRO9_biorep5,42.4694410946866
10,pCLN2-mCherry-tSUN4_biorep5,64.70476717076104
11,pCLN2-mCherry-tTOS6_biorep5,42.10155480714383
12,pHSP26-mCherry-tCLN2_biorep5,12484.128306601047
13,pHSP26-mCherry-tHSP26_biorep5,19750.20455760164
14,pHSP26-mCherry-tPAB1_biorep5,19763.482887964285
15,pHSP26-mCherry-tPGK1_biorep5,18947.648230190553
16,pHSP26-mCherry-tPMA1_biorep5,5623.901566059906
17,pHSP26-mCherry-tRPS13_biorep5,14227.844749978312
18,pHSP26-mCherry-tRPS3_biorep5,17820.14655560461
19,pHSP26-mCherry-tSRO9_biorep5,5944.077114952195
20,pHSP26-mCherry-tSUN4_biorep5,6329.869610171786
21,pHSP26-mCherry-tTOS6_biorep5,13008.737531343855
22,pPGK1-mCherry-tCLN2_biorep5,5386.506609062266
23,pPGK1-mCherry-tHSP26_biorep5,5661.309986803258
24,pPGK1-mCherry-tPAB1_biorep5,5454.449341274443
25,pPGK1-mCherry-tPGK1_biorep5,4411.376094448449
26,pPGK1-mCherry-tPMA1_biorep5,1343.390497324946
27,pPGK1-mCherry-tRPS13_biorep5,3938.8879647727804
28,pPGK1-mCherry-tRPS3_biorep5,4681.488850585703
29,pPGK1-mCherry-tSRO9_biorep5,2024.8004454672541
30,pPGK1-mCherry-tSUN4_biorep5,2303.917827105989
31,pPGK1-mCherry-tTOS6_biorep5,2768.9237503443755
32,pRPS13-mCherry-tCLN2_biorep5,4990.651662635757
33,pRPS13-mCherry-tHSP26_biorep5,4602.224229857314
34,pRPS13-mCherry-tPAB1_biorep5,5564.30005956867
35,pRPS13-mCherry-tPGK1_biorep5,3370.7984633911165
36,pRPS13-mCherry-tPMA1_biorep5,567.1278033789077
37,pRPS13-mCherry-tRPS13_biorep5,4583.11729075228
38,pRPS13-mCherry-tRPS3_biorep5,5285.637315355823
39,pRPS13-mCherry-tSRO9_biorep5,1781.827025531737
40,pRPS13-mCherry-tSUN4_biorep5,1714.357665077374
41,pRPS13-mCherry-tTOS6_biorep5,1866.6002558685266
42,pRPS3-mCherry-tCLN2_biorep5,5271.474229531748
43,pRPS3-mCherry-tHSP26_biorep5,2462.931691133322
44,pRPS3-mCherry-tPAB1_biorep5,5162.567772981171
45,pRPS3-mCherry-tPGK1_biorep5,3112.5127200060915
46,pRPS3-mCherry-tPMA1_biorep5,835.2252152031302
47,pRPS3-mCherry-tRPS13_biorep5,4015.3923982483916
48,pRPS3-mCherry-tRPS3_biorep5,5845.860942646496
49,pRPS3-mCherry-tSRO9_biorep5,1572.2841921738232
50,pRPS3-mCherry-tSUN4_biorep5,1448.131009719585
51,pRPS3-mCherry-tTOS6_biorep5,1586.9687983948854
52,pSRO9-mCherry-tCLN2_biorep5,78.23217144365466
53,pSRO9-mCherry-tHSP26_biorep5,42.04691959111938
54,pSRO9-mCherry-tPAB1_biorep5,106.49687268391723
55,pSRO9-mCherry-tPGK1_biorep5,62.089093813332276
56,pSRO9-mCherry-tPMA1_biorep5,21.444947347265703
57,pSRO9-mCherry-tRPS13_biorep5,65.92196831575312
58,pSRO9-mCherry-tRPS3_biorep5,41.057574201326986
59,pSRO9-mCherry-tSRO9_biorep5,43.6078590693115
60,pSRO9-mCherry-tSUN4_biorep5,22.186153664842777
61,pSRO9-mCherry-tTOS6_biorep5,42.69246696004949
