,strain,c-mCherry-100 per OD at max local gr
0,Null,
1,POT1-ccdB_biorep1,14.523659431447122
2,pCLN2-mCherry-tCLN2_biorep1,42.0926617659171
3,pCLN2-mCherry-tHSP26_biorep1,94.25532665064495
4,pCLN2-mCherry-tPAB1_biorep1,40.008707644677074
5,pCLN2-mCherry-tPGK1_biorep1,59.23615878689115
6,pCLN2-mCherry-tPMA1_biorep1,42.33392646244466
7,pCLN2-mCherry-tRPS13_biorep1,86.4360916908437
8,pCLN2-mCherry-tRPS3_biorep1,58.65209012894266
9,pCLN2-mCherry-tSRO9_biorep1,20.270004655898294
10,pCLN2-mCherry-tSUN4_biorep1,20.511672376717797
11,pCLN2-mCherry-tTOS6_biorep1,60.8167311961534
12,pHSP26-mCherry-tCLN2_biorep1,12976.795934080714
13,pHSP26-mCherry-tHSP26_biorep1,12852.661189124106
14,pHSP26-mCherry-tPAB1_biorep1,10710.173454044434
15,pHSP26-mCherry-tPGK1_biorep1,13171.294982641642
16,pHSP26-mCherry-tPMA1_biorep1,4945.6006150277735
17,pHSP26-mCherry-tRPS13_biorep1,9638.15318448023
18,pHSP26-mCherry-tRPS3_biorep1,18111.2213289851
19,pHSP26-mCherry-tSRO9_biorep1,4833.94047485406
20,pHSP26-mCherry-tSUN4_biorep1,5534.452872125501
21,pPGK1-mCherry-tCLN2_biorep1,5977.057963870381
22,pPGK1-mCherry-tHSP26_biorep1,5075.120661500651
23,pPGK1-mCherry-tPAB1_biorep1,4624.669378830286
24,pPGK1-mCherry-tPGK1_biorep1,5009.786142524247
25,pPGK1-mCherry-tPMA1_biorep1,1231.222793968035
26,pPGK1-mCherry-tRPS13_biorep1,4754.822166541949
27,pPGK1-mCherry-tRPS3_biorep1,5303.255714242085
28,pPGK1-mCherry-tSRO9_biorep1,1694.6463953202233
29,pPGK1-mCherry-tSUN4_biorep1,2498.7496603897043
30,pPGK1-mCherry-tTOS6_biorep1,2389.9071276998975
31,pRPS13-mCherry-tCLN2_biorep1,5038.180220676839
32,pRPS13-mCherry-tHSP26_biorep1,4719.829260676637
33,pRPS13-mCherry-tPAB1_biorep1,5273.29892774457
34,pRPS13-mCherry-tPGK1_biorep1,3638.503489985096
35,pRPS13-mCherry-tPMA1_biorep1,766.6170597265699
36,pRPS13-mCherry-tRPS13_biorep1,5160.608502794903
37,pRPS13-mCherry-tRPS3_biorep1,5390.534908639856
38,pRPS13-mCherry-tSRO9_biorep1,1563.7826292440673
39,pRPS13-mCherry-tSUN4_biorep1,1403.0838345715397
40,pRPS13-mCherry-tTOS6_biorep1,1812.5399027099259
41,pRPS3-mCherry-tCLN2_biorep1,4564.593962060996
42,pRPS3-mCherry-tHSP26_biorep1,2144.0556257303165
43,pRPS3-mCherry-tPAB1_biorep1,3904.635803941384
44,pRPS3-mCherry-tPGK1_biorep1,3390.328348955603
45,pRPS3-mCherry-tPMA1_biorep1,752.852863211315
46,pRPS3-mCherry-tRPS13_biorep1,4546.723176861755
47,pRPS3-mCherry-tRPS3_biorep1,5826.777117345173
48,pRPS3-mCherry-tSRO9_biorep1,1238.2900170325463
49,pRPS3-mCherry-tSUN4_biorep1,1185.3243508934654
50,pRPS3-mCherry-tTOS6_biorep1,1516.529884546565
51,pSRO9-mCherry-tCLN2_biorep1,40.57929993030696
52,pSRO9-mCherry-tHSP26_biorep1,0.47796352871787035
53,pSRO9-mCherry-tPAB1_biorep1,-19.426416464388627
54,pSRO9-mCherry-tPGK1_biorep1,39.70025598511132
55,pSRO9-mCherry-tPMA1_biorep1,37.75575357892738
56,pSRO9-mCherry-tRPS13_biorep1,20.874776385512984
57,pSRO9-mCherry-tRPS3_biorep1,1.8931075889994262
58,pSRO9-mCherry-tSRO9_biorep1,20.477792742003313
59,pSRO9-mCherry-tSUN4_biorep1,40.38597248977967
60,pSRO9-mCherry-tTOS6_biorep1,1.1362059726410336
