,strain,c-mCherry-100 per OD at max local gr
0,POT1-ccdB_biorep1,14.493791996827094
1,null,
2,pCLN2-mCherry-tCLN2_biorep1,43.2927405588142
3,pCLN2-mCherry-tHSP26_biorep1,94.43584151907615
4,pCLN2-mCherry-tPAB1_biorep1,39.58347300797236
5,pCLN2-mCherry-tPGK1_biorep1,59.157746011731085
6,pCLN2-mCherry-tPMA1_biorep1,42.34513308848532
7,pCLN2-mCherry-tRPS13_biorep1,81.54867840638069
8,pCLN2-mCherry-tRPS3_biorep1,58.806506901651666
9,pCLN2-mCherry-tSRO9_biorep1,20.577607885039814
10,pCLN2-mCherry-tSUN4_biorep1,20.56593574476851
11,pCLN2-mCherry-tTOS6_biorep1,61.09795003989837
12,pHSP26-mCherry-tCLN2_biorep1,12427.520669396918
13,pHSP26-mCherry-tHSP26_biorep1,12852.877861132394
14,pHSP26-mCherry-tPAB1_biorep1,10709.682915522855
15,pHSP26-mCherry-tPGK1_biorep1,13171.236649813727
16,pHSP26-mCherry-tPMA1_biorep1,4945.1475639441205
17,pHSP26-mCherry-tRPS13_biorep1,9638.943299218692
18,pHSP26-mCherry-tRPS3_biorep1,18111.23513321703
19,pHSP26-mCherry-tSRO9_biorep1,4834.070358066135
20,pHSP26-mCherry-tSUN4_biorep1,5534.165838077487
21,pPGK1-mCherry-tCLN2_biorep1,6215.46557130115
22,pPGK1-mCherry-tHSP26_biorep1,5075.065068715114
23,pPGK1-mCherry-tPAB1_biorep1,4624.54481781903
24,pPGK1-mCherry-tPGK1_biorep1,5009.425465505276
25,pPGK1-mCherry-tPMA1_biorep1,1231.5581094874435
26,pPGK1-mCherry-tRPS13_biorep1,4755.505945290407
27,pPGK1-mCherry-tRPS3_biorep1,5302.868671370642
28,pPGK1-mCherry-tSRO9_biorep1,1694.5105570233216
29,pPGK1-mCherry-tSUN4_biorep1,2251.728331176331
30,pPGK1-mCherry-tTOS6_biorep1,2390.334890309283
31,pRPS13-mCherry-tCLN2_biorep1,5037.005184634347
32,pRPS13-mCherry-tHSP26_biorep1,4719.780792623534
33,pRPS13-mCherry-tPAB1_biorep1,4967.535344886699
34,pRPS13-mCherry-tPGK1_biorep1,3638.319298076267
35,pRPS13-mCherry-tPMA1_biorep1,828.2980149271591
36,pRPS13-mCherry-tRPS13_biorep1,5161.304198020412
37,pRPS13-mCherry-tRPS3_biorep1,5390.784158297942
38,pRPS13-mCherry-tSRO9_biorep1,1563.8209208416183
39,pRPS13-mCherry-tSUN4_biorep1,1402.563945492001
40,pRPS13-mCherry-tTOS6_biorep1,1812.764879801645
41,pRPS3-mCherry-tCLN2_biorep1,4564.912079047592
42,pRPS3-mCherry-tHSP26_biorep1,2144.540225957851
43,pRPS3-mCherry-tPAB1_biorep1,3904.1642862713284
44,pRPS3-mCherry-tPGK1_biorep1,3390.6937491458575
45,pRPS3-mCherry-tPMA1_biorep1,752.7257816393086
46,pRPS3-mCherry-tRPS13_biorep1,4706.621473151288
47,pRPS3-mCherry-tRPS3_biorep1,5826.810099717771
48,pRPS3-mCherry-tSRO9_biorep1,1238.265854768659
49,pRPS3-mCherry-tSUN4_biorep1,1185.294854874374
50,pRPS3-mCherry-tTOS6_biorep1,1516.2725969342769
51,pSRO9-mCherry-tCLN2_biorep1,40.454015537272404
52,pSRO9-mCherry-tHSP26_biorep1,0.493301224922193
53,pSRO9-mCherry-tPAB1_biorep1,-19.34404616442815
54,pSRO9-mCherry-tPGK1_biorep1,39.82133560495701
55,pSRO9-mCherry-tPMA1_biorep1,38.14398151646578
56,pSRO9-mCherry-tRPS13_biorep1,20.82239836099945
57,pSRO9-mCherry-tRPS3_biorep1,1.5058255791600461
58,pSRO9-mCherry-tSRO9_biorep1,20.350942965804805
59,pSRO9-mCherry-tSUN4_biorep1,40.647269553098845
60,pSRO9-mCherry-tTOS6_biorep1,0.928428979910653
