Include,Color,Pos,Name,Cp,Concentration,Standard,Status,well,cq,well_row,well_col,sample_id,strain,pro_mCh,promoter,mCherry,bio_rep,ter_mod,terminator,construct,exp_rep,remove,prep_type,tech_rep,target_id,ref_cq,delta_cq,rel_abund
TRUE,255,E6,Sample 102,10.38,NA,0,NA,E6,10.38,E,6,pPGK1-mCherry-tTSA1_mod0_BioRep6_ExpRep2,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,2,mCh-7,10.6,-0.21999999999999886,1.164733586468455
TRUE,255,I6,Sample 198,10.28,NA,0,NA,I6,10.28,I,6,pPGK1-mCherry-tTSA1_mod0_BioRep6_ExpRep2,pPGK1-mCherry-tTSA1_mod0,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,3,mCh-7,10.6,-0.3200000000000003,1.248330548901612
TRUE,255,A7,Sample 7,10.29,NA,0,NA,A7,10.29,A,7,pPGK1-mCherry-tTSA1_modA_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,1,mCh-7,10.62,-0.33000000000000007,1.2570133745218284
TRUE,255,E7,Sample 103,10.49,NA,0,NA,E7,10.49,E,7,pPGK1-mCherry-tTSA1_modA_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,2,mCh-7,10.62,-0.129999999999999,1.0942937012607388
TRUE,255,I7,Sample 199,10.61,NA,0,NA,I7,10.61,I,7,pPGK1-mCherry-tTSA1_modA_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,3,mCh-7,10.62,-0.009999999999999787,1.0069555500567187
TRUE,255,A8,Sample 8,10.54,NA,0,NA,A8,10.54,A,8,pPGK1-mCherry-tTSA1_modA_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,1,mCh-7,10.63,-0.09000000000000163,1.0643701824533611
TRUE,255,E8,Sample 104,10.27,NA,0,NA,E8,10.27,E,8,pPGK1-mCherry-tTSA1_modA_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,2,mCh-7,10.63,-0.3600000000000012,1.2834258975629054
TRUE,255,I8,Sample 200,10.39,NA,0,NA,I8,10.39,I,8,pPGK1-mCherry-tTSA1_modA_BioRep2_ExpRep1,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep2,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,3,mCh-7,10.63,-0.2400000000000002,1.1809926614295305
TRUE,255,A9,Sample 9,10.41,NA,0,NA,A9,10.41,A,9,pPGK1-mCherry-tTSA1_modA_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,1,mCh-7,10.43,-0.019999999999999574,1.0139594797900289
TRUE,255,E9,Sample 105,10.29,NA,0,NA,E9,10.29,E,9,pPGK1-mCherry-tTSA1_modA_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,2,mCh-7,10.43,-0.14000000000000057,1.101905115876611
