Include,Color,Pos,Name,Cp,Concentration,Standard,Status,well,cq,well_row,well_col,sample_id,strain,pro_mCh,promoter,mCherry,bio_rep,ter_mod,terminator,construct,exp_rep,remove,prep_type,tech_rep,target_id,ref_cq,delta_cq,rel_abund
TRUE,255,E6,Sample 102,13.31,NA,0,NA,E6,13.31,E,6,pRPS3-mCherry-tRPS3_mod0_BioRep6_ExpRep2,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep6,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,2,mCh-7,14.86,-1.549999999999999,2.9281713918912486
TRUE,255,I6,Sample 198,12.88,NA,0,NA,I6,12.88,I,6,pRPS3-mCherry-tRPS3_mod0_BioRep6_ExpRep2,pRPS3-mCherry-tRPS3_mod0,pRPS3-mCherry,pRPS3,mCherry,BioRep6,tRPS3_mod0,tRPS3,mod0,ExpRep2,FALSE,+RT,3,mCh-7,14.86,-1.9799999999999986,3.944930817973433
TRUE,255,A7,Sample 7,10.69,NA,0,NA,A7,10.69,A,7,pRPS3-mCherry-tRPS3_modA_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,1,mCh-7,10.98,-0.2900000000000009,1.2226402776920693
TRUE,255,E7,Sample 103,9.92,NA,0,NA,E7,9.92,E,7,pRPS3-mCherry-tRPS3_modA_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,2,mCh-7,10.98,-1.0600000000000005,2.0849315216822437
TRUE,255,I7,Sample 199,9.48,NA,0,NA,I7,9.48,I,7,pRPS3-mCherry-tRPS3_modA_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,3,mCh-7,10.98,-1.5,2.8284271247461903
TRUE,255,A8,Sample 8,9.58,NA,0,NA,A8,9.58,A,8,pRPS3-mCherry-tRPS3_modA_BioRep2_ExpRep1,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep2,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,1,mCh-7,9.7,-0.11999999999999922,1.0867348625260576
TRUE,255,E8,Sample 104,9.7,NA,0,NA,E8,9.7,E,8,pRPS3-mCherry-tRPS3_modA_BioRep2_ExpRep1,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep2,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,2,mCh-7,9.7,0,1
TRUE,255,I8,Sample 200,8.97,NA,0,NA,I8,8.97,I,8,pRPS3-mCherry-tRPS3_modA_BioRep2_ExpRep1,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep2,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,3,mCh-7,9.7,-0.72999999999999865,1.6586390916288818
TRUE,255,A9,Sample 9,10.89,NA,0,NA,A9,10.89,A,9,pRPS3-mCherry-tRPS3_modA_BioRep3_ExpRep1,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep3,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,1,mCh-7,11.37,-0.47999999999999865,1.394743666350404
TRUE,255,E9,Sample 105,10.59,NA,0,NA,E9,10.59,E,9,pRPS3-mCherry-tRPS3_modA_BioRep3_ExpRep1,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep3,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,2,mCh-7,11.37,-0.7799999999999994,1.7171308728755068
TRUE,255,I9,Sample 201,9.92,NA,0,NA,I9,9.92,I,9,pRPS3-mCherry-tRPS3_modA_BioRep3_ExpRep1,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep3,tRPS3_modA,tRPS3,modA,ExpRep1,FALSE,+RT,3,mCh-7,11.37,-1.4499999999999993,2.7320805135087896
TRUE,255,A7,Sample 7,13.51,NA,0,NA,A7,13.51,A,7,pRPS3-mCherry-tRPS3_modA_BioRep4_ExpRep2,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep4,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,1,mCh-7,14.72,-1.2100000000000009,2.313376367810576
TRUE,255,E7,Sample 103,13.52,NA,0,NA,E7,13.52,E,7,pRPS3-mCherry-tRPS3_modA_BioRep4_ExpRep2,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep4,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,2,mCh-7,14.72,-1.200000000000001,2.2973967099940715
TRUE,255,I7,Sample 199,12.93,NA,0,NA,I7,12.93,I,7,pRPS3-mCherry-tRPS3_modA_BioRep4_ExpRep2,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep4,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,3,mCh-7,14.72,-1.790000000000001,3.458148925231463
TRUE,255,A8,Sample 8,13.52,NA,0,NA,A8,13.52,A,8,pRPS3-mCherry-tRPS3_modA_BioRep5_ExpRep2,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep5,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,1,mCh-7,14.73,-1.2100000000000009,2.313376367810576
TRUE,255,E8,Sample 104,13.52,NA,0,NA,E8,13.52,E,8,pRPS3-mCherry-tRPS3_modA_BioRep5_ExpRep2,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep5,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,2,mCh-7,14.73,-1.2100000000000009,2.313376367810576
TRUE,255,I8,Sample 200,12.91,NA,0,NA,I8,12.91,I,8,pRPS3-mCherry-tRPS3_modA_BioRep5_ExpRep2,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep5,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,3,mCh-7,14.73,-1.8200000000000003,3.5308119851626203
TRUE,255,A9,Sample 9,13.63,NA,0,NA,A9,13.63,A,9,pRPS3-mCherry-tRPS3_modA_BioRep6_ExpRep2,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep6,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,1,mCh-7,14.7,-1.0699999999999985,2.0994333672461325
TRUE,255,E9,Sample 105,13.4,NA,0,NA,E9,13.4,E,9,pRPS3-mCherry-tRPS3_modA_BioRep6_ExpRep2,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep6,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,2,mCh-7,14.7,-1.299999999999999,2.462288826689831
TRUE,255,I9,Sample 201,13.21,NA,0,NA,I9,13.21,I,9,pRPS3-mCherry-tRPS3_modA_BioRep6_ExpRep2,pRPS3-mCherry-tRPS3_modA,pRPS3-mCherry,pRPS3,mCherry,BioRep6,tRPS3_modA,tRPS3,modA,ExpRep2,FALSE,+RT,3,mCh-7,14.7,-1.4899999999999984,2.8088897514759914
TRUE,255,A10,Sample 10,12.4,NA,0,NA,A10,12.4,A,10,pRPS3-mCherry-tRPS3_modB_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,1,mCh-7,11.42,0.9800000000000004,0.5069797398950144
