Include,Color,Pos,Name,Cp,Concentration,Standard,Status,well,cq,well_row,well_col,sample_id,strain,pro_mCh,promoter,mCherry,bio_rep,ter_mod,terminator,construct,exp_rep,remove,prep_type,tech_rep,target_id,ref_cq,delta_cq,rel_abund
TRUE,255,I5,Sample 197,10.73,NA,0,NA,I5,10.73,I,5,pTSA1-mCherry-tTSA1_mod0_BioRep5_ExpRep2,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep5,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,3,mCh-7,11.89,-1.1600000000000001,2.23457427614444
TRUE,255,A6,Sample 6,10.36,NA,0,NA,A6,10.36,A,6,pTSA1-mCherry-tTSA1_mod0_BioRep6_ExpRep2,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep6,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,1,mCh-7,11.51,-1.1500000000000004,2.2191389441356906
TRUE,255,E6,Sample 102,10.22,NA,0,NA,E6,10.22,E,6,pTSA1-mCherry-tTSA1_mod0_BioRep6_ExpRep2,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep6,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,2,mCh-7,11.51,-1.2899999999999991,2.4452805553841355
TRUE,255,I6,Sample 198,10.27,NA,0,NA,I6,10.27,I,6,pTSA1-mCherry-tTSA1_mod0_BioRep6_ExpRep2,pTSA1-mCherry-tTSA1_mod0,pTSA1-mCherry,pTSA1,mCherry,BioRep6,tTSA1_mod0,tTSA1,mod0,ExpRep2,FALSE,+RT,3,mCh-7,11.51,-1.2400000000000002,2.361985322859061
TRUE,255,A7,Sample 7,11.61,NA,0,NA,A7,11.61,A,7,pTSA1-mCherry-tTSA1_modA_BioRep1_ExpRep1,pTSA1-mCherry-tTSA1_modA,pTSA1-mCherry,pTSA1,mCherry,BioRep1,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,1,mCh-7,12.39,-0.7800000000000011,1.7171308728755088
TRUE,255,E7,Sample 103,11.7,NA,0,NA,E7,11.7,E,7,pTSA1-mCherry-tTSA1_modA_BioRep1_ExpRep1,pTSA1-mCherry-tTSA1_modA,pTSA1-mCherry,pTSA1,mCherry,BioRep1,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,2,mCh-7,12.39,-0.6900000000000013,1.613283518444254
TRUE,255,I7,Sample 199,11.72,NA,0,NA,I7,11.72,I,7,pTSA1-mCherry-tTSA1_modA_BioRep1_ExpRep1,pTSA1-mCherry-tTSA1_modA,pTSA1-mCherry,pTSA1,mCherry,BioRep1,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,3,mCh-7,12.39,-0.6699999999999999,1.5910729675098372
TRUE,255,A8,Sample 8,12.31,NA,0,NA,A8,12.31,A,8,pTSA1-mCherry-tTSA1_modA_BioRep2_ExpRep1,pTSA1-mCherry-tTSA1_modA,pTSA1-mCherry,pTSA1,mCherry,BioRep2,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,1,mCh-7,11.89,0.41999999999999993,0.7474246243174693
TRUE,255,E8,Sample 104,11.72,NA,0,NA,E8,11.72,E,8,pTSA1-mCherry-tTSA1_modA_BioRep2_ExpRep1,pTSA1-mCherry-tTSA1_modA,pTSA1-mCherry,pTSA1,mCherry,BioRep2,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,2,mCh-7,11.89,-0.16999999999999993,1.1250584846888094
TRUE,255,I8,Sample 200,11.74,NA,0,NA,I8,11.74,I,8,pTSA1-mCherry-tTSA1_modA_BioRep2_ExpRep1,pTSA1-mCherry-tTSA1_modA,pTSA1-mCherry,pTSA1,mCherry,BioRep2,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,3,mCh-7,11.89,-0.15000000000000036,1.1095694720678453
