,strain,c-mTurq-60 per OD at max local gr
0,Null,
1,POT1-ccdB,-1.0232830430744022
2,pCLN2-mTurq-tCLN2,87.36797232467305
3,pCLN2-mTurq-tHSP26,148.4214951125512
4,pCLN2-mTurq-tPAB1,201.05198748961368
5,pCLN2-mTurq-tPGK1,94.50982597969774
6,pCLN2-mTurq-tPMA1_long,-9.417809233069853
7,pCLN2-mTurq-tRPS13,56.82922763092671
8,pCLN2-mTurq-tRPS3,139.2048217292223
9,pCLN2-mTurq-tSRO9_long,42.329063135506566
10,pCLN2-mTurq-tSUN4,59.904818495804285
11,pCLN2-mTurq-tTOS6,59.42001464754902
12,pHSP26-mTurq-tCLN2,10583.822116571235
13,pHSP26-mTurq-tHSP26,9321.70057400779
14,pHSP26-mTurq-tPAB1,12401.057724340979
15,pHSP26-mTurq-tPGK1,10219.963058533576
16,pHSP26-mTurq-tPMA1_long,3778.774991778337
17,pHSP26-mTurq-tRPS13,10502.350053995191
18,pHSP26-mTurq-tRPS3,9517.156976030044
19,pHSP26-mTurq-tSRO9_long,5744.044898193688
20,pHSP26-mTurq-tSUN4,5062.873063938103
21,pHSP26-mTurq-tTOS6,7577.523249242495
22,pPGK1-mTurq-tCLN2,7065.368493882988
23,pPGK1-mTurq-tHSP26,6820.629680335705
24,pPGK1-mTurq-tPAB1,10395.24124309064
25,pPGK1-mTurq-tPGK1,8242.91070275863
26,pPGK1-mTurq-tPMA1_long,1326.6082680429329
27,pPGK1-mTurq-tRPS13,6219.696531016275
28,pPGK1-mTurq-tRPS3,7584.608119386711
29,pPGK1-mTurq-tSRO9_long,3163.876392369275
30,pPGK1-mTurq-tSUN4,2809.824609813316
31,pPGK1-mTurq-tTOS6,4627.339108045105
32,pRPS13-mTurq-tCLN2,4526.673574582359
33,pRPS13-mTurq-tHSP26,4146.527293125423
34,pRPS13-mTurq-tPAB1,5781.399924858231
35,pRPS13-mTurq-tPGK1,3581.6368033576478
36,pRPS13-mTurq-tPMA1_long,916.1710024588554
37,pRPS13-mTurq-tRPS13,3812.139683902149
38,pRPS13-mTurq-tRPS3,4291.579333923889
39,pRPS13-mTurq-tSRO9_long,2386.2177135546017
40,pRPS13-mTurq-tSUN4,965.1648226826661
41,pRPS13-mTurq-tTOS6,1987.713742665641
42,pRPS3-mTurq-tCLN2,4502.862956771721
43,pRPS3-mTurq-tHSP26,4182.773761644426
44,pRPS3-mTurq-tPAB1,5605.011214560835
45,pRPS3-mTurq-tPGK1,4047.694356567189
46,pRPS3-mTurq-tPMA1_long,758.8965468411795
47,pRPS3-mTurq-tRPS13,3701.040426783683
48,pRPS3-mTurq-tRPS3,5025.072982569952
49,pRPS3-mTurq-tSRO9_long,2185.426896692568
50,pRPS3-mTurq-tSUN4,956.6615863584095
51,pRPS3-mTurq-tTOS6,1525.2771520990607
52,pSRO9-mTurq-tCLN2,707.8761626069195
53,pSRO9-mTurq-tHSP26,740.3724316087892
54,pSRO9-mTurq-tPAB1,843.4429568841545
55,pSRO9-mTurq-tPGK1,599.1883370522992
56,pSRO9-mTurq-tPMA1_long,106.93576839286833
57,pSRO9-mTurq-tRPS13,649.9560926060763
58,pSRO9-mTurq-tRPS3,817.0972443144041
59,pSRO9-mTurq-tSRO9_long,294.50272604007944
60,pSRO9-mTurq-tSUN4,177.94457737781667
61,pSRO9-mTurq-tTOS6,324.8132789301966
